Year,Description,Employees (units of 500 jobs),Actual Employees (Number of Jobs),Compensation (units of $20M),Actual Compensation (Thousands of Dollars)
2001,Advertising,3,1666.0,2,35141.0
2001,Agents/managers for artists,0,17.0,0,580.0
2001,All other design services,0,66.0,0,599.0
2001,All other industries 2/,5,2277.0,4,87111.0
2001,Architectural services,1,563.0,2,41358.0
2001,Broadcasting,6,3056.0,8,154366.0
2001,Computer systems design,0,,0,
2001,Construction,3,1499.0,4,77887.0
2001,Custom architectural woodwork and metalwork manufacturing,0,191.0,0,7800.0
2001,Education services,2,1147.0,1,26613.0
2001,Fine arts education,1,328.0,0,4853.0
2001,Government,74,36922.0,41,826851.0
2001,Grantmaking and giving services,0,129.0,0,2910.0
2001,Graphic design services,1,252.0,0,8608.0
2001,"Independent artists, writers, and performers",1,321.0,0,7718.0
2001,Industrial design services,0,67.0,0,890.0
2001,Interior design services,0,83.0,0,2159.0
2001,Jewelry and silverware manufacturing,0,,0,
2001,Landscape architectural services,0,178.0,1,10105.0
2001,Motion pictures,4,1938.0,2,32851.0
2001,Museums,1,637.0,0,7431.0
2001,Musical instruments manufacturing,0,37.0,0,2644.0
2001,Other goods manufacturing,1,411.0,1,19785.0
2001,Other information services,1,474.0,1,28865.0
2001,Other support services,0,24.0,0,522.0
2001,Performing arts companies,0,,0,
2001,Photography and photofinishing services,1,399.0,2,42613.0
2001,Printed goods manufacturing,0,,0,
2001,Promoters of performing arts and similar events,1,291.0,0,5227.0
2001,Publishing,9,4629.0,9,176426.0
2001,Rental and leasing,1,415.0,0,8207.0
2001,Retail industries,13,6397.0,6,126562.0
2001,Sound recording,0,17.0,0,877.0
2001,Unions,1,368.0,0,9229.0
2001,Wholesale and transportation industries,3,1262.0,3,50230.0
2002,Advertising,3,1522.0,2,34022.0
2002,Agents/managers for artists,0,37.0,0,834.0
2002,All other design services,0,,0,
2002,All other industries 2/,5,2255.0,4,89426.0
2002,Architectural services,1,621.0,2,43385.0
2002,Broadcasting,6,3055.0,8,155659.0
2002,Computer systems design,0,,0,
2002,Construction,4,1840.0,5,93120.0
2002,Custom architectural woodwork and metalwork manufacturing,1,262.0,1,11156.0
2002,Education services,2,1227.0,2,31187.0
2002,Fine arts education,1,345.0,0,4747.0
2002,Government,74,36969.0,43,856799.0
2002,Grantmaking and giving services,0,131.0,0,3038.0
2002,Graphic design services,1,257.0,0,9157.0
2002,"Independent artists, writers, and performers",1,284.0,0,6943.0
2002,Industrial design services,0,,0,
2002,Interior design services,0,72.0,0,2081.0
2002,Jewelry and silverware manufacturing,0,11.0,0,312.0
2002,Landscape architectural services,0,152.0,0,9043.0
2002,Motion pictures,4,1912.0,2,31827.0
2002,Museums,1,688.0,1,10684.0
2002,Musical instruments manufacturing,0,33.0,0,2464.0
2002,Other goods manufacturing,0,,0,
2002,Other information services,1,372.0,1,20971.0
2002,Other support services,0,14.0,0,377.0
2002,Performing arts companies,1,271.0,0,9875.0
2002,Photography and photofinishing services,1,399.0,2,42760.0
2002,Printed goods manufacturing,0,,0,
2002,Promoters of performing arts and similar events,0,234.0,0,8502.0
2002,Publishing,9,4531.0,9,181641.0
2002,Rental and leasing,1,381.0,0,9891.0
2002,Retail industries,13,6262.0,6,128591.0
2002,Sound recording,0,15.0,0,745.0
2002,Unions,1,333.0,0,8006.0
2002,Wholesale and transportation industries,3,1276.0,3,51897.0
2003,Advertising,3,1464.0,2,35879.0
2003,Agents/managers for artists,0,29.0,0,817.0
2003,All other design services,0,,0,
2003,All other industries 2/,4,2126.0,4,88214.0
2003,Architectural services,1,610.0,2,46185.0
2003,Broadcasting,6,3225.0,8,165523.0
2003,Computer systems design,0,,0,
2003,Construction,3,1357.0,3,67476.0
2003,Custom architectural woodwork and metalwork manufacturing,1,254.0,1,10826.0
2003,Education services,2,1137.0,1,28842.0
2003,Fine arts education,1,368.0,0,6171.0
2003,Government,68,34068.0,40,807544.0
2003,Grantmaking and giving services,0,148.0,0,3466.0
2003,Graphic design services,1,272.0,0,9777.0
2003,"Independent artists, writers, and performers",1,267.0,0,5804.0
2003,Industrial design services,0,,0,
2003,Interior design services,0,75.0,0,2349.0
2003,Jewelry and silverware manufacturing,0,,0,
2003,Landscape architectural services,0,118.0,0,7202.0
2003,Motion pictures,4,1924.0,2,32822.0
2003,Museums,1,712.0,1,10096.0
2003,Musical instruments manufacturing,0,25.0,0,1487.0
2003,Other goods manufacturing,1,398.0,1,21476.0
2003,Other information services,1,345.0,1,19180.0
2003,Other support services,0,15.0,0,457.0
2003,Performing arts companies,1,269.0,0,9480.0
2003,Photography and photofinishing services,1,401.0,2,40723.0
2003,Printed goods manufacturing,0,,0,
2003,Promoters of performing arts and similar events,0,171.0,0,7103.0
2003,Publishing,9,4610.0,11,211383.0
2003,Rental and leasing,1,378.0,0,7827.0
2003,Retail industries,13,6292.0,7,137691.0
2003,Sound recording,0,15.0,0,691.0
2003,Unions,1,353.0,0,8061.0
2003,Wholesale and transportation industries,2,1091.0,2,47844.0
2004,Advertising,3,1539.0,2,40567.0
2004,Agents/managers for artists,0,21.0,0,660.0
2004,All other design services,0,,0,
2004,All other industries 2/,4,2083.0,5,91233.0
2004,Architectural services,1,642.0,2,49056.0
2004,Broadcasting,0,,0,
2004,Computer systems design,0,61.0,0,3869.0
2004,Construction,3,1311.0,3,67716.0
2004,Custom architectural woodwork and metalwork manufacturing,0,242.0,1,10304.0
2004,Education services,2,1063.0,1,27577.0
2004,Fine arts education,1,407.0,0,8155.0
2004,Government,64,31927.0,39,774024.0
2004,Grantmaking and giving services,0,121.0,0,3062.0
2004,Graphic design services,1,264.0,0,9512.0
2004,"Independent artists, writers, and performers",1,276.0,0,5094.0
2004,Industrial design services,0,,0,
2004,Interior design services,0,96.0,0,2359.0
2004,Jewelry and silverware manufacturing,0,8.0,0,355.0
2004,Landscape architectural services,0,94.0,0,5172.0
2004,Motion pictures,4,2084.0,2,36141.0
2004,Museums,1,738.0,1,10598.0
2004,Musical instruments manufacturing,0,25.0,0,1305.0
2004,Other goods manufacturing,1,382.0,1,22559.0
2004,Other information services,0,241.0,1,13887.0
2004,Other support services,0,15.0,0,572.0
2004,Performing arts companies,1,288.0,1,15103.0
2004,Photography and photofinishing services,1,414.0,2,36845.0
2004,Printed goods manufacturing,0,,0,
2004,Promoters of performing arts and similar events,0,167.0,0,6520.0
2004,Publishing,9,4432.0,11,212272.0
2004,Rental and leasing,0,,0,
2004,Retail industries,13,6640.0,7,144241.0
2004,Sound recording,0,27.0,0,1301.0
2004,Unions,1,354.0,0,8793.0
2004,Wholesale and transportation industries,2,999.0,2,46239.0
2005,Advertising,3,1434.0,2,43884.0
2005,Agents/managers for artists,0,6.0,0,223.0
2005,All other design services,0,9.0,0,156.0
2005,All other industries 2/,4,2083.0,5,94532.0
2005,Architectural services,1,664.0,3,53742.0
2005,Broadcasting,0,,0,
2005,Computer systems design,0,62.0,0,4200.0
2005,Construction,4,1991.0,5,100151.0
2005,Custom architectural woodwork and metalwork manufacturing,1,275.0,1,11895.0
2005,Education services,2,1029.0,1,26845.0
2005,Fine arts education,1,415.0,0,9411.0
2005,Government,59,29603.0,36,723067.0
2005,Grantmaking and giving services,0,99.0,0,2786.0
2005,Graphic design services,1,269.0,0,9576.0
2005,"Independent artists, writers, and performers",1,339.0,0,8810.0
2005,Industrial design services,0,137.0,0,3070.0
2005,Interior design services,0,91.0,0,1964.0
2005,Jewelry and silverware manufacturing,0,5.0,0,299.0
2005,Landscape architectural services,0,99.0,0,5510.0
2005,Motion pictures,4,2137.0,2,36288.0
2005,Museums,2,769.0,1,12339.0
2005,Musical instruments manufacturing,0,25.0,0,1398.0
2005,Other goods manufacturing,1,379.0,1,22290.0
2005,Other information services,0,199.0,1,12166.0
2005,Other support services,0,16.0,0,547.0
2005,Performing arts companies,1,301.0,1,14418.0
2005,Photography and photofinishing services,1,410.0,2,33566.0
2005,Printed goods manufacturing,0,,0,
2005,Promoters of performing arts and similar events,0,158.0,0,5673.0
2005,Publishing,9,4378.0,10,208354.0
2005,Rental and leasing,0,,0,
2005,Retail industries,13,6583.0,7,144013.0
2005,Sound recording,0,26.0,0,1099.0
2005,Unions,1,374.0,0,8692.0
2005,Wholesale and transportation industries,2,947.0,2,45792.0
2006,Advertising,3,1366.0,2,46770.0
2006,Agents/managers for artists,0,6.0,0,182.0
2006,All other design services,0,11.0,0,204.0
2006,All other industries 2/,4,2062.0,5,96400.0
2006,Architectural services,1,652.0,3,51422.0
2006,Broadcasting,0,,0,
2006,Computer systems design,0,71.0,0,4904.0
2006,Construction,4,2091.0,5,107765.0
2006,Custom architectural woodwork and metalwork manufacturing,1,295.0,1,13261.0
2006,Education services,2,1054.0,1,28645.0
2006,Fine arts education,1,452.0,1,10013.0
2006,Government,55,27519.0,35,691226.0
2006,Grantmaking and giving services,0,122.0,0,3662.0
2006,Graphic design services,1,295.0,1,10663.0
2006,"Independent artists, writers, and performers",1,287.0,0,9521.0
2006,Industrial design services,0,170.0,0,3698.0
2006,Interior design services,0,93.0,0,2235.0
2006,Jewelry and silverware manufacturing,0,3.0,0,227.0
2006,Landscape architectural services,0,102.0,0,6554.0
2006,Motion pictures,4,2165.0,2,41896.0
2006,Museums,2,822.0,1,14356.0
2006,Musical instruments manufacturing,0,,0,
2006,Other goods manufacturing,1,365.0,1,23821.0
2006,Other information services,0,183.0,1,12169.0
2006,Other support services,0,15.0,0,570.0
2006,Performing arts companies,1,295.0,1,12616.0
2006,Photography and photofinishing services,1,417.0,2,32672.0
2006,Printed goods manufacturing,0,,0,
2006,Promoters of performing arts and similar events,1,426.0,1,11120.0
2006,Publishing,9,4411.0,12,240602.0
2006,Rental and leasing,0,,0,
2006,Retail industries,13,6468.0,7,146356.0
2006,Sound recording,0,30.0,0,1220.0
2006,Unions,1,375.0,0,9966.0
2006,Wholesale and transportation industries,2,1094.0,3,53819.0
2007,Advertising,3,1389.0,3,53321.0
2007,Agents/managers for artists,0,4.0,0,170.0
2007,All other design services,0,9.0,0,188.0
2007,All other industries 2/,4,2091.0,5,102116.0
2007,Architectural services,1,677.0,3,59483.0
2007,Broadcasting,8,3892.0,10,200212.0
2007,Computer systems design,0,79.0,0,5827.0
2007,Construction,2,1128.0,3,59296.0
2007,Custom architectural woodwork and metalwork manufacturing,1,409.0,1,18279.0
2007,Education services,2,998.0,1,28476.0
2007,Fine arts education,1,425.0,0,9416.0
2007,Government,52,25790.0,32,647861.0
2007,Grantmaking and giving services,0,133.0,0,4103.0
2007,Graphic design services,1,325.0,1,11790.0
2007,"Independent artists, writers, and performers",1,293.0,1,10149.0
2007,Industrial design services,0,192.0,0,4527.0
2007,Interior design services,0,89.0,0,2684.0
2007,Jewelry and silverware manufacturing,0,9.0,0,419.0
2007,Landscape architectural services,0,,0,
2007,Motion pictures,4,2103.0,2,40990.0
2007,Museums,2,830.0,1,15646.0
2007,Musical instruments manufacturing,0,24.0,0,1672.0
2007,Other goods manufacturing,1,404.0,1,28442.0
2007,Other information services,1,307.0,1,11701.0
2007,Other support services,0,17.0,0,663.0
2007,Performing arts companies,1,304.0,1,12325.0
2007,Photography and photofinishing services,0,,0,
2007,Printed goods manufacturing,0,,0,
2007,Promoters of performing arts and similar events,1,439.0,1,12838.0
2007,Publishing,9,4549.0,12,242038.0
2007,Rental and leasing,0,,0,
2007,Retail industries,13,6565.0,7,144812.0
2007,Sound recording,0,23.0,0,806.0
2007,Unions,1,365.0,0,9379.0
2007,Wholesale and transportation industries,2,1205.0,3,60268.0
2008,Advertising,3,1438.0,3,55901.0
2008,Agents/managers for artists,0,5.0,0,167.0
2008,All other design services,0,9.0,0,188.0
2008,All other industries 2/,4,2029.0,5,103309.0
2008,Architectural services,1,690.0,3,59091.0
2008,Broadcasting,8,3875.0,10,206841.0
2008,Computer systems design,0,81.0,0,5953.0
2008,Construction,2,839.0,2,47292.0
2008,Custom architectural woodwork and metalwork manufacturing,1,418.0,1,21042.0
2008,Education services,2,958.0,1,27336.0
2008,Fine arts education,1,421.0,0,9822.0
2008,Government,52,25806.0,33,664007.0
2008,Grantmaking and giving services,0,131.0,0,4193.0
2008,Graphic design services,1,344.0,1,13876.0
2008,"Independent artists, writers, and performers",1,393.0,1,13890.0
2008,Industrial design services,0,208.0,0,4093.0
2008,Interior design services,0,95.0,0,2483.0
2008,Jewelry and silverware manufacturing,0,10.0,0,591.0
2008,Landscape architectural services,0,79.0,0,4355.0
2008,Motion pictures,4,1946.0,2,38561.0
2008,Museums,2,875.0,1,17281.0
2008,Musical instruments manufacturing,0,22.0,0,1450.0
2008,Other goods manufacturing,1,360.0,1,22965.0
2008,Other information services,0,,0,
2008,Other support services,0,15.0,0,606.0
2008,Performing arts companies,0,,0,
2008,Photography and photofinishing services,0,,0,
2008,Printed goods manufacturing,0,,0,
2008,Promoters of performing arts and similar events,1,433.0,1,14291.0
2008,Publishing,9,4355.0,11,229015.0
2008,Rental and leasing,0,,0,
2008,Retail industries,13,6409.0,7,145502.0
2008,Sound recording,0,25.0,0,1322.0
2008,Unions,1,407.0,1,10856.0
2008,Wholesale and transportation industries,2,1209.0,3,63177.0
2009,Advertising,3,1278.0,3,51344.0
2009,Agents/managers for artists,0,6.0,0,194.0
2009,All other design services,0,9.0,0,281.0
2009,All other industries 2/,4,1937.0,5,100102.0
2009,Architectural services,1,721.0,3,54799.0
2009,Broadcasting,8,3889.0,11,219601.0
2009,Computer systems design,0,87.0,0,6309.0
2009,Construction,2,1052.0,3,62529.0
2009,Custom architectural woodwork and metalwork manufacturing,1,339.0,1,16222.0
2009,Education services,2,911.0,1,27860.0
2009,Fine arts education,1,396.0,1,11025.0
2009,Government,51,25605.0,36,710485.0
2009,Grantmaking and giving services,0,160.0,0,4718.0
2009,Graphic design services,1,301.0,1,11557.0
2009,"Independent artists, writers, and performers",1,416.0,0,9939.0
2009,Industrial design services,0,220.0,0,5445.0
2009,Interior design services,0,92.0,0,2223.0
2009,Jewelry and silverware manufacturing,0,7.0,0,401.0
2009,Landscape architectural services,0,100.0,0,5786.0
2009,Motion pictures,4,1932.0,2,39381.0
2009,Museums,2,834.0,1,18194.0
2009,Musical instruments manufacturing,0,22.0,0,1818.0
2009,Other goods manufacturing,1,262.0,1,16882.0
2009,Other information services,0,,0,
2009,Other support services,0,23.0,0,759.0
2009,Performing arts companies,0,,0,
2009,Photography and photofinishing services,0,,0,
2009,Printed goods manufacturing,3,1409.0,3,62452.0
2009,Promoters of performing arts and similar events,1,494.0,1,18137.0
2009,Publishing,8,3886.0,11,212207.0
2009,Rental and leasing,0,,0,
2009,Retail industries,11,5680.0,6,121915.0
2009,Sound recording,0,26.0,0,1227.0
2009,Unions,1,462.0,1,11813.0
2009,Wholesale and transportation industries,2,832.0,2,41021.0
2010,Advertising,3,1319.0,3,55917.0
2010,Agents/managers for artists,0,10.0,0,319.0
2010,All other design services,0,12.0,0,447.0
2010,All other industries 2/,4,1762.0,5,93146.0
2010,Architectural services,2,770.0,3,53910.0
2010,Broadcasting,8,3994.0,11,225453.0
2010,Computer systems design,0,114.0,0,8295.0
2010,Construction,5,2257.0,7,140979.0
2010,Custom architectural woodwork and metalwork manufacturing,1,324.0,1,14087.0
2010,Education services,2,855.0,1,26129.0
2010,Fine arts education,1,392.0,1,10710.0
2010,Government,50,25037.0,37,739776.0
2010,Grantmaking and giving services,0,159.0,0,4150.0
2010,Graphic design services,1,269.0,1,11627.0
2010,"Independent artists, writers, and performers",1,354.0,0,8841.0
2010,Industrial design services,0,248.0,0,8106.0
2010,Interior design services,0,86.0,0,1989.0
2010,Jewelry and silverware manufacturing,0,8.0,0,344.0
2010,Landscape architectural services,0,89.0,0,5140.0
2010,Motion pictures,4,1802.0,2,32089.0
2010,Museums,2,815.0,1,16540.0
2010,Musical instruments manufacturing,0,,0,
2010,Other goods manufacturing,0,249.0,1,17916.0
2010,Other information services,1,265.0,1,13678.0
2010,Other support services,0,23.0,0,884.0
2010,Performing arts companies,0,,0,
2010,Photography and photofinishing services,0,,0,
2010,Printed goods manufacturing,3,1314.0,3,59417.0
2010,Promoters of performing arts and similar events,1,355.0,1,15427.0
2010,Publishing,7,3629.0,10,198714.0
2010,Rental and leasing,0,,0,
2010,Retail industries,11,5529.0,6,118947.0
2010,Sound recording,0,27.0,0,1038.0
2010,Unions,1,411.0,1,10854.0
2010,Wholesale and transportation industries,2,973.0,3,50876.0
2011,Advertising,3,1397.0,3,61675.0
2011,Agents/managers for artists,0,9.0,0,543.0
2011,All other design services,0,7.0,0,331.0
2011,All other industries 2/,3,1721.0,5,93183.0
2011,Architectural services,2,787.0,3,58118.0
2011,Broadcasting,8,4009.0,11,223790.0
2011,Computer systems design,0,127.0,0,9627.0
2011,Construction,4,2066.0,7,136700.0
2011,Custom architectural woodwork and metalwork manufacturing,0,,0,
2011,Education services,2,899.0,1,28921.0
2011,Fine arts education,1,387.0,1,10078.0
2011,Government,50,25065.0,38,764482.0
2011,Grantmaking and giving services,0,159.0,0,4977.0
2011,Graphic design services,1,320.0,1,14782.0
2011,"Independent artists, writers, and performers",1,346.0,0,9067.0
2011,Industrial design services,0,230.0,0,9223.0
2011,Interior design services,0,83.0,0,2027.0
2011,Jewelry and silverware manufacturing,0,6.0,0,220.0
2011,Landscape architectural services,0,74.0,0,4470.0
2011,Motion pictures,3,1739.0,2,32006.0
2011,Museums,2,822.0,1,17092.0
2011,Musical instruments manufacturing,0,21.0,0,1921.0
2011,Other goods manufacturing,0,194.0,1,15981.0
2011,Other information services,1,279.0,1,17532.0
2011,Other support services,0,19.0,0,463.0
2011,Performing arts companies,0,,0,
2011,Photography and photofinishing services,0,,0,
2011,Printed goods manufacturing,3,1263.0,3,60108.0
2011,Promoters of performing arts and similar events,1,498.0,1,19522.0
2011,Publishing,7,3520.0,10,200528.0
2011,Rental and leasing,0,,0,
2011,Retail industries,12,6115.0,7,147068.0
2011,Sound recording,0,31.0,0,1604.0
2011,Unions,1,441.0,1,10621.0
2011,Wholesale and transportation industries,2,1003.0,3,53798.0
2012,Advertising,3,1429.0,3,66361.0
2012,Agents/managers for artists,0,3.0,0,131.0
2012,All other design services,0,8.0,0,485.0
2012,All other industries 2/,3,1614.0,4,89734.0
2012,Architectural services,1,744.0,3,54833.0
2012,Broadcasting,8,3976.0,12,232144.0
2012,Computer systems design,0,140.0,1,11214.0
2012,Construction,2,1013.0,3,67121.0
2012,Custom architectural woodwork and metalwork manufacturing,1,375.0,1,17596.0
2012,Education services,2,929.0,2,31545.0
2012,Fine arts education,1,399.0,0,9451.0
2012,Government,50,25167.0,39,771240.0
2012,Grantmaking and giving services,0,173.0,0,5122.0
2012,Graphic design services,1,268.0,1,18831.0
2012,"Independent artists, writers, and performers",1,465.0,0,9598.0
2012,Industrial design services,0,229.0,1,12580.0
2012,Interior design services,0,82.0,0,3569.0
2012,Jewelry and silverware manufacturing,0,9.0,0,229.0
